"id","item","texteffect","chislo"
"3292","greataxe_u03c","+15% to Fire Damage","15"
"3293","greataxe_u03c","15% chance to Stun target for 2 sec.","15"
"3294","greataxe_u03c","Silence for 5 sec.","5"
"3295","greataxe_u04"," Augmented Weapon:     ",""
"3296","greataxe_u04"," Kill 50 Tu`tarans to Upgrade ","50"
"3297","greataxe_u04","-39 to All Armor per hit","39"
"3298","greataxe_u04","1% chance to cast Fully Heal Self on kill","1"
"3299","greataxe_u04","------------------",""
"3300","greataxe_u04","15 Health stolen on hit","15"
"3301","greataxe_u04","+15% pet and minion Armor","15"
"3302","greataxe_u04","+15% pet and minion Damage","15"
"3303","greataxe_u04","10% chance to cast Scalding Geyser from target","10"
"3304","greataxe_u04b","+6% to Electric Damage","6"
"3305","greataxe_u04b","Silence for 7 sec.","7"
"3306","greataxe_u04b","+75% Damage to secondary targets","75"
"3307","greataxe_u04c","+12% Attack Speed","12"
"3308","greataxe_u04c","+9% Cast Speed","9"
"3309","greataxe_u04c"," Charge  rate increased by 5%","5"
"3310","greataxe_u04c","4% faster movement speed","4"
"3311","greataxe_u05","+6% Cast Speed","6"
"3312","greataxe_u05","+2% Critical Hit Chance","2"
"3313","greataxe_u05","+42 Physical Damage","42"
"3314","greataxe_u05","+12% Damage to secondary targets","12"
"3315","greataxe_u05","+10% pet and minion Health","10"
"3316","greataxe_u05"," Charge  rate increased by 10%","10"
"3317","greataxe_u05","2% chance to Stun target for 5 sec.","2"
"3318","greataxe_u05b","40% bonus to Critical Damage","40"
"3319","greataxe_u05b","-117 to All Armor per hit","117"
"3320","greataxe_u05b","4 Mana stolen on hit","4"
"3321","greataxe_u05b","All Damage Taken is reduced by -1,1% ","1"
"3322","greataxe_u05c","15% chance to Stun target for 2 sec.","15"
"3323","greataxe_u05c","Silence for 3 sec.","3"
"3324","greataxe_u05c","+75% Damage to secondary targets","75"
"3325","greataxe_u06"," Augmented Weapon:     ",""
"3326","greataxe_u06"," Kill 200 Dwarves to Upgrade ","200"
"3327","greataxe_u06","+182 Physical Damage","182"
"3328","greataxe_u06","10% chance to cast Thunder from target","10"
"3329","greataxe_u06","------------------",""
"3330","greataxe_u06","+9% Cast Speed","9"
"3331","greataxe_u06","+6% Critical Hit Chance","6"
"3332","greataxe_u06","3% increase in magic-finding Luck","3"
"3333","greataxe_u06b","+18% Attack Speed","18"
"3334","greataxe_u06b"," Charge  decay rate decreased by -20%","20"
"3335","greataxe_u06b"," Charge  rate increased by 10%","10"
"3336","greataxe_u06b","2% chance to Stun target for 5 sec.","2"
"3337","greataxe_u06c","20% bonus to Critical Damage","20"
"3338","greataxe_u06c","-38 to All Armor per hit","38"
"3339","greataxe_u06c","128 Health stolen on hit","128"
"3340","greataxe_u06c","25% chance to cast Meteor Strike on kill","25"
"3341","greataxe_u07"," Augmented Weapon:     ",""
"3342","greataxe_u07"," Kill 1000 Undead Creatures to Upgrade ","1000"
"3343","greataxe_u07","135 Health stolen on hit","135"
"3344","greataxe_u07","26 Mana stolen on hit","26"
"3345","greataxe_u07","------------------",""
"3346","greataxe_u07","5% chance to Burn for 5 sec.","5"
"3347","greataxe_u07","5% chance to Shock for 5 sec.","5"
"3348","greataxe_u07","+10% to Electric Damage","10"
"3349","greataxe_u07","+10% to Fire Damage","10"
"3350","greataxe_u07","4% faster movement speed","4"
"3351","greataxe_u07b","+340 Physical Damage","340"
"3352","greataxe_u07b","+20 Knockback","20"
"3353","greataxe_u07c","+3% Attack Speed","3"
"3354","greataxe_u07c","+6% Critical Hit Chance","6"
"3355","greataxe_u07c","30 Health stolen on hit","30"
"3356","greataxe_u07c","+12% Damage to secondary targets","12"
"3357","greataxe_u07c","25% chance to cast Thunder from target","25"
"3361","legendary_shield02","60% Knock Back Resistance","60"
"3362","legendary_shield03","60% Knock Back Resistance","60"
"3363","legendary_shield04","60% Knock Back Resistance","60"
"3364","shield_m01","50% Knock Back Resistance","50"
"3365","shield_m01b","50% Knock Back Resistance","50"
"3366","shield_m01c","50% Knock Back Resistance","50"
"3367","shield_m02","50% Knock Back Resistance","50"
"3368","shield_m02b","50% Knock Back Resistance","50"
"3369","shield_m02c","50% Knock Back Resistance","50"
"3370","shield_m03","50% Knock Back Resistance","50"
"3371","shield_m03b","50% Knock Back Resistance","50"
"3372","shield_m03c","50% Knock Back Resistance","50"
"3373","shield_m04","50% Knock Back Resistance","50"
"3374","shield_m04b","50% Knock Back Resistance","50"
"3375","shield_m04c","50% Knock Back Resistance","50"
"3376","shield_m05","50% Knock Back Resistance","50"
"3377","shield_m05b","50% Knock Back Resistance","50"
"3378","shield_m05c","50% Knock Back Resistance","50"
"3379","shield_m06","50% Knock Back Resistance","50"
"3380","shield_m06b","50% Knock Back Resistance","50"
"3381","shield_m06c","50% Knock Back Resistance","50"
"3382","shield_m07","50% Knock Back Resistance","50"
"3383","shield_m07b","50% Knock Back Resistance","50"
"3384","shield_m07c","50% Knock Back Resistance","50"
"3385","shield_m08","50% Knock Back Resistance","50"
"3386","shield_m08b","50% Knock Back Resistance","50"
"3387","shield_m08c","50% Knock Back Resistance","50"
"3388","shield_n01","40% Knock Back Resistance","40"
"3389","shield_n01b","40% Knock Back Resistance","40"
"3390","shield_n01c","40% Knock Back Resistance","40"
"3391","shield_n02","40% Knock Back Resistance","40"
"3392","shield_n02b","40% Knock Back Resistance","40"
"3393","shield_n02c","40% Knock Back Resistance","40"
"3394","shield_n03","40% Knock Back Resistance","40"
"3395","shield_n03b","40% Knock Back Resistance","40"
"3396","shield_n03c","40% Knock Back Resistance","40"
"3397","shield_n04","40% Knock Back Resistance","40"
"3398","shield_n04b","40% Knock Back Resistance","40"
"3399","shield_n04c","40% Knock Back Resistance","40"
"3400","shield_n05","40% Knock Back Resistance","40"
"3401","shield_n05b","40% Knock Back Resistance","40"
"3402","shield_n05c","40% Knock Back Resistance","40"
"3403","shield_n06","40% Knock Back Resistance","40"
"3404","shield_n06b","40% Knock Back Resistance","40"
"3405","shield_n06c","40% Knock Back Resistance","40"
"3406","Buckler","40% Knock Back Resistance","40"
"3407","shield_u01","60% Knock Back Resistance","60"
"3408","shield_u01b","60% Knock Back Resistance","60"
"3409","shield_u01c","60% Knock Back Resistance","60"
"3410","shield_u02","60% Knock Back Resistance","60"
"3411","shield_u02b","60% Knock Back Resistance","60"
"3412","shield_u02c","60% Knock Back Resistance","60"
"3413","shield_u03","60% Knock Back Resistance","60"
"3414","shield_u03b","60% Knock Back Resistance","60"
"3415","shield_u03c","60% Knock Back Resistance","60"
"3416","shield_u04","60% Knock Back Resistance","60"
"3417","shield_u04b","60% Knock Back Resistance","60"
"3418","shield_u04c","60% Knock Back Resistance","60"
"3419","shield_u04_set_wintersreach","60% Knock Back Resistance","60"
"3420","shield_u05","60% Knock Back Resistance","60"
"3421","shield_u05b","60% Knock Back Resistance","60"
"3422","shield_u05c","60% Knock Back Resistance","60"
"3423","shield_u06","60% Knock Back Resistance","60"
"3424","shield_u06b","60% Knock Back Resistance","60"
"3425","shield_u06c","60% Knock Back Resistance","60"
"3426","shield_u07","60% Knock Back Resistance","60"
"3427","shield_u07b","60% Knock Back Resistance","60"
"3428","shield_u07c","60% Knock Back Resistance","60"
"3429","sturm_shield","40% Knock Back Resistance","40"
"3430","sturm_shield02","40% Knock Back Resistance","40"
"3431","z_shield_m04_set","50% Knock Back Resistance","50"
"3432","z_shield_u07_set","60% Knock Back Resistance","60"
"3433","berserker_01_boots","+11 Health","11"
"3434","berserker_01_boots","+108 Health","108"
"3435","berserker_01_boots","2% improvement in vendor prices","2"
"3436","berserker_01_boots","+5% chance to Execute","5"
"3437","berserker_01_boots_alt_b","+20 Poison Armor","20"
"3438","berserker_01_boots_alt_b","+6% to All Damage","6"
"3439","berserker_01_boots_alt_b","6 Physical Damage Reflected","6"
"3440","berserker_01_boots_alt_c","+25% to Ice Damage","25"
"3441","berserker_01_boots_alt_c","+5 Focus Attribute bonus","5"
"3442","berserker_01_boots_alt_c","+5% chance to Execute","5"
"3443","berserker_01_chest","+2 to Physical Armor","2"
"3444","berserker_01_chest","+16 Ice Armor","16"
"3445","berserker_01_chest","+5% chance to Execute","5"
"3446","berserker_01_chest_alt_b","+20 Poison Armor","20"
"3447","berserker_01_chest_alt_b","+3 Ice Armor","3"
"3448","berserker_01_chest_alt_b","+10% to Electric Damage","10"
"3449","berserker_01_chest_alt_c","+5% Dodge chance","5"
"3450","berserker_01_chest_alt_c","+7 Focus Attribute bonus","7"
"3451","berserker_01_chest_alt_c","+8% Melee Weapon Damage bonus","8"
"3452","berserker_01_gloves","+3 to Physical Armor","3"
"3453","berserker_01_gloves","+15% to All Damage","15"
"3454","berserker_01_gloves","+2 to Physical Armor","2"
"3455","berserker_01_gloves_alt_b","30% increase in the amount of gold found","30"
"3456","berserker_01_gloves_alt_b","+3 Electric Armor","3"
"3457","berserker_01_gloves_alt_b","+5% chance to Execute","5"
"3458","berserker_01_gloves_alt_c","5 Health stolen on hit","5"
"3459","berserker_01_gloves_alt_c","3% chance to reflect missiles at 50% weapon DPS","3"
"3460","berserker_01_gloves_alt_c","+36 Poison Armor","36"
"3461","berserker_01_shoulders","+25% to Ice Damage","25"
"3462","berserker_01_shoulders","+4 Dexterity Attribute bonus","4"
"3463","berserker_01_shoulders","2% increase in magic-finding Luck","2"
"3464","berserker_01_shoulders","+2 Ice Armor","2"
"3465","berserker_01_shoulders_alt_b","+9 Poison Armor","9"
"3466","berserker_01_shoulders_alt_b","+6 to Physical Armor","6"
"3467","berserker_01_shoulders_alt_b","All Damage Taken is reduced by -3% ","3"
"3468","berserker_01_shoulders_alt_c","+7 Focus Attribute bonus","7"
"3469","berserker_01_shoulders_alt_c","+6% to All Damage","6"
"3470","berserker_01_shoulders_alt_c","+10% chance to Execute","10"
"3471","berserker_01_shoulders_alt_c","+5% to Ice Damage","5"
"3472","berserker_02_amulet","+152 Health","152"
"3473","berserker_02_amulet","4% Damage bonus when dual-wielding","4"
"3474","berserker_02_amulet","+5 Electric Armor","5"
"3475","berserker_02_amulet_alt_b","+20% to All Damage","20"
"3476","berserker_02_amulet_alt_b","+5% Potion effectiveness","5"
"3477","berserker_02_amulet_alt_c","9% increase in magic-finding Luck","9"
"3478","berserker_02_amulet_alt_c","+5% pet and minion Armor","5"
"3479","berserker_02_amulet_alt_c","+2% to All Damage","2"
"3480","berserker_02_belt","+2% Critical Hit Chance","2"
"3481","berserker_02_belt","+44 Health","44"
"3482","berserker_02_belt","3% chance to reflect missiles at 50% weapon DPS","3"
"3483","berserker_02_belt","+7 Focus Attribute bonus","7"
"3484","berserker_02_belt","+6% to Electric Damage","6"
"3485","berserker_02_belt_alt_b","7% increase in magic-finding Luck","7"
"3486","berserker_02_belt_alt_b","+2% to All Damage","2"
"3487","berserker_02_belt_alt_b","+3 to Physical Armor","3"
"3488","berserker_02_belt_alt_b","+2% to Physical Armor","2"
"3489","berserker_02_belt_alt_c","+25% to Ice Damage","25"
"3490","berserker_02_belt_alt_c","+168 Health","168"
"3491","berserker_02_belt_alt_c","+3% to Ice Damage","3"
"3492","berserker_02_belt_alt_c","+5% chance to Execute","5"
"3493","berserker_02_boots","+31 Electric Armor","31"
"3494","berserker_02_boots","3% chance to reflect missiles at 50% weapon DPS","3"
"3495","berserker_02_boots","+6 to Physical Armor","6"
"3496","berserker_02_boots","+5 Electric Armor","5"
"3497","berserker_02_boots_alt_b","+50% to Ice Damage","50"
"3498","berserker_02_boots_alt_b","+6 Fire Armor","6"
"3499","berserker_02_boots_alt_b","7 Health stolen on hit","7"
"3500","berserker_02_boots_alt_c","9% increase in magic-finding Luck","9"
"3501","berserker_02_boots_alt_c","+8 Ice Armor","8"
"3502","berserker_02_boots_alt_c","+8% Melee Weapon Damage bonus","8"
"3503","berserker_02_boots_alt_set","+12 Ice Armor","12"
"3504","berserker_02_boots_alt_set","+5% Dodge chance","5"
"3505","berserker_02_boots_alt_set","+6 Fire Armor","6"
"3506","berserker_02_boots_alt_set","+28 Health","28"
"3507","berserker_02_chest","3% increase in the amount of experience gained","3"
"3508","berserker_02_chest","+6% to Physical Armor","6"
"3509","berserker_02_chest","+7 Focus Attribute bonus","7"
"3510","berserker_02_chest","+6% to All Damage","6"
"3511","berserker_02_chest_alt_b","+22 to Physical Armor","22"
"3512","berserker_02_chest_alt_b","All Damage Taken is reduced by -1,1% ","1"
"3513","berserker_02_chest_alt_b","+7 Mana","7"
"3514","berserker_02_chest_alt_c","+16 Electric Armor","16"
"3515","berserker_02_chest_alt_c","+12% Melee Weapon Damage bonus","12"
"3516","berserker_02_chest_alt_c","+101 Health","101"
"3517","berserker_02_chest_alt_c","+11 Dexterity Attribute bonus","11"
"3518","berserker_02_chest_alt_c","+8 Poison Armor","8"
"3519","berserker_02_chest_alt_set","+30 Electric Armor","30"
"3520","berserker_02_chest_alt_set","+6% to Physical Armor","6"
"3521","berserker_02_chest_alt_set","+56 Health","56"
"3522","berserker_02_chest_alt_set","21 Physical Damage Reflected","21"
"3523","berserker_02_gloves","15% chance to reflect missiles at 50% weapon DPS","15"
"3524","berserker_02_gloves","+10 Mana","10"
"3525","berserker_02_gloves","+4% to Physical Armor","4"
"3526","berserker_02_gloves_alt_b","+42 Electric Armor","42"
"3527","berserker_02_gloves_alt_b","+9 Dexterity Attribute bonus","9"
"3528","berserker_02_gloves_alt_b","-2 to all item character stat requirements","2"
"3529","berserker_02_gloves_alt_b","7 Health stolen on hit","7"
"3530","berserker_02_gloves_alt_c","5% increase in magic-finding Luck","5"
"3531","berserker_02_gloves_alt_c","+6% to Physical Armor","6"
"3532","berserker_02_gloves_alt_c","+8 Focus Attribute bonus","8"
"3533","berserker_02_gloves_alt_set","+22 to Physical Armor","22"
"3534","berserker_02_gloves_alt_set","9% chance to reflect missiles at 50% weapon DPS","9"
"3535","berserker_02_gloves_alt_set","7 Health stolen on hit","7"
"3536","berserker_02_helmet","6% increase in the amount of gold found","6"
"3537","berserker_02_helmet","6 Health stolen on hit","6"
"3538","berserker_02_helmet","9% increase in magic-finding Luck","9"
"3539","berserker_02_helmet","2 Mana stolen on hit","2"
"3540","berserker_02_helmet_alt_b","+10% to Ice Damage","10"
"3541","berserker_02_helmet_alt_b","+6 Poison Armor","6"
"3542","berserker_02_helmet_alt_b","+42 Fire Armor","42"
"3543","berserker_02_helmet_alt_b","+3 Dexterity Attribute bonus","3"
"3544","berserker_02_helmet_alt_c","+20% to Physical Armor","20"
"3545","berserker_02_helmet_alt_c","5% chance to Freeze for 5 sec.","5"
"3546","berserker_02_helmet_alt_c","+8 Ice Armor","8"
"3547","berserker_02_pants","+7 Vitality Attribute bonus","7"
"3548","berserker_02_pants","+20% to Ice Damage","20"
"3549","berserker_02_pants","+22 Health","22"
"3550","berserker_02_pants_alt_b","+42 Electric Armor","42"
"3551","berserker_02_pants_alt_b","+12 Ice Armor","12"
"3552","berserker_02_pants_alt_b","+10% pet and minion Health","10"
"3553","berserker_02_pants_alt_b","+5% chance to Execute","5"
"3554","berserker_02_pants_alt_c","+28 to Physical Armor","28"
"3555","berserker_02_pants_alt_c","+24 Electric Armor","24"
"3556","berserker_02_pants_alt_set","+15% to Ice Damage","15"
"3557","berserker_02_pants_alt_set","6% faster movement speed","6"
"3558","berserker_02_pants_alt_set","+6% to All Damage","6"
"3559","berserker_02_pants_alt_set","4% increase in the amount of gold found","4"
"3560","berserker_02_ring","+216 Health","216"
"3561","berserker_02_ring","+5 Electric Armor","5"
"3562","berserker_02_ring","+5% chance to Execute","5"
"3563","berserker_02_ring_alt_b","+9 Strength Attribute bonus","9"
"3564","berserker_02_ring_alt_b","+20% Melee Weapon Damage bonus","20"
"3565","berserker_02_ring_alt_b","+4% to Physical Armor","4"
"3566","berserker_02_ring_alt_b","+3 Vitality Attribute bonus","3"
"3567","berserker_02_ring_alt_c","+336 Health","336"
"3568","berserker_02_ring_alt_c","+16 Fire Armor","16"
"3569","berserker_02_shoulders","+7 Dexterity Attribute bonus","7"
"3570","berserker_02_shoulders","+20% to Electric Damage","20"
"3571","berserker_02_shoulders_alt_b","+276 Health","276"
"3572","berserker_02_shoulders_alt_b","6% increase in the amount of gold found","6"
"3573","berserker_02_shoulders_alt_b","+5% chance to Execute","5"
"3574","berserker_02_shoulders_alt_c","+19 Poison Armor","19"
"3575","berserker_02_shoulders_alt_c","+19 Ice Armor","19"
"3576","berserker_02_shoulders_alt_c","+19 Fire Armor","19"
"3577","berserker_02_shoulders_alt_c","+19 Electric Armor","19"
"3578","berserker_02_shoulders_alt_c","+5% pet and minion Damage","5"
"3579","berserker_02_shoulders_alt_c","+68 Health","68"
"3580","berserker_02_shoulders_alt_c","+8 Dexterity Attribute bonus","8"
"3581","berserker_03_amulet","+14 Focus Attribute bonus","14"
"3582","berserker_03_amulet","+10 Vitality Attribute bonus","10"
"3583","berserker_03_amulet","All Damage Taken is reduced by -5% ","5"
"3584","berserker_03_amulet_alt_b","+25% to Ice Damage","25"
"3585","berserker_03_amulet_alt_b","+11 Vitality Attribute bonus","11"
"3586","berserker_03_amulet_alt_b","+13 Poison Armor","13"
"3587","berserker_03_amulet_alt_c","+30 Dexterity Attribute bonus","30"
"3588","berserker_03_amulet_alt_c","1% increase in the amount of experience gained","1"
"3589","berserker_03_amulet_alt_c","+6% to Physical Armor","6"
"3590","berserker_03_amulet_alt_c","+4% to All Damage","4"
"3591","berserker_03_amulet_alt_c","+15 Ice Armor","15"
"3592","berserker_03_belt","+73 Ice Armor","73"
"3593","berserker_03_belt","+14 Dexterity Attribute bonus","14"
"3594","berserker_03_belt","+5% chance to Execute","5"
"3595","berserker_03_belt_alt_b","+10% chance to Execute","10"
"3596","berserker_03_belt_alt_b","+10% Potion effectiveness","10"
"3597","berserker_03_belt_alt_b","+10% to Physical Armor","10"
"3598","berserker_03_belt_alt_b","+13 Fire Armor","13"
"3599","berserker_03_belt_alt_c","+270 Health","270"
"3600","berserker_03_belt_alt_c","+43 Electric Armor","43"
"3601","berserker_03_belt_alt_c","+18 Focus Attribute bonus","18"
"3602","berserker_03_belt_alt_set","+10% to Ice Damage","10"
"3603","berserker_03_belt_alt_set","+29 Mana","29"
"3604","berserker_03_belt_alt_set","All Damage Taken is reduced by -1,1% ","1"
"3605","berserker_03_boots","-4 to all item character stat requirements","4"
"3606","berserker_03_boots","+21 Fire Armor","21"
"3607","berserker_03_boots","+10% to All Damage","10"
"3608","berserker_03_boots","+5 Dexterity Attribute bonus","5"
"3609","berserker_03_boots_alt_b","+336 Health","336"
"3610","berserker_03_boots_alt_b","+26 Dexterity Attribute bonus","26"
"3611","berserker_03_boots_alt_b","12 Health stolen on hit","12"
"3612","berserker_03_boots_alt_c","+108 Health","108"
"3613","berserker_03_boots_alt_c","+50% pet and minion Damage","50"
"3614","berserker_03_boots_alt_c","+5% chance to Execute","5"
"3615","berserker_03_chest","+5 to Physical Armor","5"
"3616","berserker_03_chest","+126 Health","126"
"3617","berserker_03_chest","10% bonus to Critical Damage","10"
"3618","berserker_03_chest","+15% pet and minion Damage","15"
"3619","berserker_03_chest","+14 Focus Attribute bonus","14"
"3620","berserker_03_chest_alt_b","+62 Electric Armor","62"
"3621","berserker_03_chest_alt_b","54 Physical Damage Reflected","54"
"3622","berserker_03_chest_alt_b","+96 Health","96"
"3623","berserker_03_chest_alt_c","181 Physical Damage Reflected","181"
"3624","berserker_03_chest_alt_c","+6 Focus Attribute bonus","6"
"3625","berserker_03_chest_alt_c","+5% chance to Execute","5"
"3626","berserker_03_chest_alt_c","13 Health stolen on hit","13"
"3627","berserker_03_chest_alt_set","+16 Focus Attribute bonus","16"
"3628","berserker_03_chest_alt_set","+50% to Electric Damage","50"
"3629","berserker_03_chest_alt_set","12 Health stolen on hit","12"
"3630","berserker_03_gloves","+13 to Physical Armor","13"
"3631","berserker_03_gloves","+3% Dodge chance","3"
"3632","berserker_03_gloves","+11 Ice Armor","11"
"3633","berserker_03_gloves","+31 Fire Armor","31"
"3634","berserker_03_gloves_alt_b","+15% to Ice Damage","15"
"3635","berserker_03_gloves_alt_b","+26 Strength Attribute bonus","26"
"3636","berserker_03_gloves_alt_b","+5 to Physical Armor","5"
"3637","berserker_03_gloves_alt_b","+3% to Electric Damage","3"
"3638","berserker_03_gloves_alt_c","7% increase in magic-finding Luck","7"
"3639","berserker_03_gloves_alt_c","+6 to Physical Armor","6"
"3640","berserker_03_gloves_alt_c","+43 Ice Armor","43"
"3641","berserker_03_helmet","+50% to Ice Damage","50"
"3642","berserker_03_helmet","+10 Dexterity Attribute bonus","10"
"3643","berserker_03_helmet_alt_b","-17 to All Armor per hit","17"
"3644","berserker_03_helmet_alt_b","+4% Melee Weapon Damage bonus","4"
"3645","berserker_03_helmet_alt_b","1% chance to cast Fully Heal Self when you get hit","1"
"3646","berserker_03_helmet_alt_b","-7,5% Physical Damage Taken for each monster within 3m","7"
"3647","berserker_03_helmet_alt_c","+20% Melee Weapon Damage bonus","20"
"3648","berserker_03_helmet_alt_c","+2% Dodge chance","2"
"3649","berserker_03_helmet_alt_c","+15 Poison Armor","15"
"3650","berserker_03_helmet_alt_c","+54 Health","54"
"3651","berserker_03_helmet_alt_c","+4% Melee Weapon Damage bonus","4"
"3652","berserker_03_helmet_alt_set","+144 Health","144"
"3653","berserker_03_helmet_alt_set","+6 Dexterity Attribute bonus","6"
"3654","berserker_03_helmet_alt_set","20% increase in the amount of gold found","20"
"3655","berserker_03_helmet_alt_set","12 Health stolen on hit","12"
"3656","berserker_03_pants","+73 Electric Armor","73"
"3657","berserker_03_pants","32 Physical Damage Reflected","32"
"3658","berserker_03_pants","+14 Focus Attribute bonus","14"
"3659","berserker_03_pants_alt_b","+144 Health","144"
"3660","berserker_03_pants_alt_b","+62 Fire Armor","62"
"3661","berserker_03_pants_alt_b","+37 Electric Armor","37"
"3662","berserker_03_pants_alt_b","+13 Ice Armor","13"
"3663","berserker_03_pants_alt_c","+52 to Physical Armor","52"
"3664","berserker_03_pants_alt_c","+6 Focus Attribute bonus","6"
"3665","berserker_03_pants_alt_c","13 Health stolen on hit","13"
"3666","berserker_03_pants_alt_set","3% increase in magic-finding Luck","3"
"3667","berserker_03_pants_alt_set","+35% pet and minion Health","35"
"3668","berserker_03_pants_alt_set","+9 Mana","9"
"3669","berserker_03_ring","+31 Fire Armor","31"
"3670","berserker_03_ring","+14 Focus Attribute bonus","14"
"3671","berserker_03_ring","-9 to all item character stat requirements","9"
"3672","berserker_03_ring","3% chance to reflect missiles at 50% weapon DPS","3"
"3673","berserker_03_ring_alt_b","+336 Health","336"
"3674","berserker_03_ring_alt_b","+10 to Physical Armor","10"
"3675","berserker_03_ring_alt_b","+8% Melee Weapon Damage bonus","8"
"3676","berserker_03_ring_alt_b"," Charge  rate increased by 5%","5"
"3677","berserker_03_ring_alt_c","+540 Health","540"
"3678","berserker_03_ring_alt_c","+6% to Electric Damage","6"
"3679","berserker_03_ring_alt_c","+2% to All Damage","2"
"3680","berserker_03_shoulders","+25 Poison Armor","25"
"3681","berserker_03_shoulders","+25 Ice Armor","25"
"3682","berserker_03_shoulders","+25 Fire Armor","25"
"3683","berserker_03_shoulders","+25 Electric Armor","25"
"3684","berserker_03_shoulders","+12% Melee Weapon Damage bonus","12"
"3685","berserker_03_shoulders"," Charge  rate increased by 10%","10"
"3686","berserker_03_shoulders","+2% to Physical Armor","2"
"3687","berserker_03_shoulders_alt_b","+6 Dexterity Attribute bonus","6"
"3688","berserker_03_shoulders_alt_b","+26 Focus Attribute bonus","26"
"3689","berserker_03_shoulders_alt_b","90 Physical Damage Reflected","90"
"3690","berserker_03_shoulders_alt_b","+4% Melee Weapon Damage bonus","4"
"3691","berserker_03_shoulders_alt_c","15% chance to reflect missiles at 50% weapon DPS","15"
"3692","berserker_03_shoulders_alt_c","+12 Vitality Attribute bonus","12"
"3693","berserker_03_shoulders_alt_c","4% Damage bonus when dual-wielding","4"
"3694","berserker_03_shoulders_alt_c","3% chance to reflect missiles at 50% weapon DPS","3"
"3695","berserker_03_shoulders_alt_set","+35 to Physical Armor","35"
"3696","berserker_03_shoulders_alt_set","+37 Fire Armor","37"
"3697","berserker_03_shoulders_alt_set","+2% to Physical Armor","2"
"3698","berserker_04_amulet","+154 Fire Armor","154"
"3699","berserker_04_amulet","+10% pet and minion Health","10"
"3700","berserker_04_amulet","+5% chance to Execute","5"
"3701","berserker_04_amulet_alt_b","+15% to Ice Damage","15"
"3702","berserker_04_amulet_alt_b","+15 Dexterity Attribute bonus","15"
"3703","berserker_04_amulet_alt_b","+6% to All Damage","6"
"3704","berserker_04_amulet_alt_b","+20 Electric Armor","20"
"3705","berserker_04_amulet_alt_c","+65 Ice Armor","65"
"3706","berserker_04_amulet_alt_c","+10% to Electric Damage","10"
"3707","berserker_04_amulet_alt_c","6% faster movement speed","6"
"3708","berserker_04_amulet_alt_c","+6% to Electric Damage","6"
"3709","berserker_04_amulet_alt_c","+22 Ice Armor","22"
"3710","berserker_04_belt","+50% pet and minion Health","50"
"3711","berserker_04_belt","+3% Dodge chance","3"
"3712","berserker_04_belt","+5% chance to Execute","5"
"3713","berserker_04_belt_alt_b","+16 to Physical Armor","16"
"3714","berserker_04_belt_alt_b","All Damage Taken is reduced by -10% ","10"
"3715","berserker_04_belt_alt_c","+10% to All Damage","10"
"3716","berserker_04_belt_alt_c","+6% to Ice Damage","6"
"3717","berserker_04_belt_alt_c","+17 Focus Attribute bonus","17"
"3718","berserker_04_belt_alt_c","-6 to all item character stat requirements","6"
"3719","berserker_04_boots","+40% pet and minion Speed","40"
"3720","berserker_04_boots"," Charge  decay rate decreased by -20%","20"
"3721","berserker_04_boots","+5% chance to Execute","5"
"3722","berserker_04_boots_alt_b","+15% to Electric Damage","15"
"3723","berserker_04_boots_alt_b","+135 Fire Armor","135"
"3724","berserker_04_boots_alt_b","17 Health stolen on hit","17"
"3725","berserker_04_boots_alt_c","+744 Health","744"
"3726","berserker_04_boots_alt_c","+16 Mana","16"
"3727","berserker_04_boots_alt_c","+5% chance to Execute","5"
"3728","berserker_04_boots_alt_set","+5% Attack Speed","5"
"3729","berserker_04_boots_alt_set","+5% to Ice Damage","5"
"3730","berserker_04_boots_alt_set","+5% to Electric Damage","5"
"3731","berserker_04_boots_alt_set","+2% Dodge chance","2"
"3732","berserker_04_boots_alt_set","5% chance to Stun target for 2 sec.","5"
"3733","berserker_04_chest","+14 Dexterity Attribute bonus","14"
"3734","berserker_04_chest","+35% pet and minion Health","35"
"3735","berserker_04_chest","+7 Vitality Attribute bonus","7"
"3736","berserker_04_chest","15 Health stolen on hit","15"
"3737","berserker_04_chest_alt_b","+38 Vitality Attribute bonus","38"
"3738","berserker_04_chest_alt_b","+10% to Physical Armor","10"
"3739","berserker_04_chest_alt_b","+39 Fire Armor","39"
"3740","berserker_04_chest_alt_c","+107 Electric Armor","107"
"3741","berserker_04_chest_alt_c","+4% to All Damage","4"
"3742","berserker_04_chest_alt_c","+9 Focus Attribute bonus","9"
"3743","berserker_04_chest_alt_c","6% chance to reflect missiles at 50% weapon DPS","6"
"3744","berserker_04_chest_alt_set","+479 Health","479"
"3745","berserker_04_chest_alt_set","1% increase in magic-finding Luck","1"
"3746","berserker_04_chest_alt_set","26 Physical Damage Reflected","26"
"3747","berserker_04_chest_alt_set","+15 Dexterity Attribute bonus","15"
"3748","berserker_04_chest_alt_set","+5% chance to Execute","5"
"3749","berserker_04_gloves","15% chance to reflect missiles at 50% weapon DPS","15"
"3750","berserker_04_gloves","+188 Health","188"
"3751","berserker_04_gloves","+7 to Physical Armor","7"
"3752","berserker_04_gloves","70 Physical Damage Reflected","70"
"3753","berserker_04_gloves_alt_b","All Damage Taken is reduced by -3% ","3"
"3754","berserker_04_gloves_alt_b","+206 Health","206"
